index,title,recommandation
0,The Computing Technology Inside Your Smartphone,Computer Analysis of Biomed Images 0.07415518884474774; Introduction to Microelectronics 0.06662088496194232; Digital Systems Design Using Microcontrollers 0.0613693648710901; Embedded Systems 0.05385810320779451; Developing and Designing Interactive Devices 0.04443369701271838; Complex Digital ASIC Design 0.0334113076770275; Introduction to Parallel Computing 0.03268794802005906
1,Introduction to Circuits for Electrical and Computer Engineers,Introduction to Microelectronics 0.08264621743729328; Digital Logic and Computer Organization 0.06528124034199945; Systems Analysis Behavior and Optimization 0.05625453916213215; Principles of Neurophysiology 0.05164512108620522; Nanofabrication and Characterization of Electronics Laboratory 0.048151896907242454; Nanofabrication and Characterization of Electronics 0.044972133308705246; Advanced Analog VLSI Circuit Design 0.0402016654050706
2,Signals and Information,Theory of Linear Systems 0.17990064046395968; Advanced Analog VLSI Circuit Design 0.0949817049535858; Embedded Systems Laboratory 0.09138459861972706; Multivariable Control Theory 0.08594626947986375; Introduction to Microelectronics 0.07510648547011642; Digital Signal and Image Processing 0.06344453080352266; Digital Systems Design Using Microcontrollers 0.05375768258383428
3,Digital Logic and Computer Organization,Complex Digital ASIC Design 0.11510467301307027; Advanced Analog VLSI Circuit Design 0.11031015437995861; Digital Systems Design Using Microcontrollers 0.09731686482747956; Introduction to Digital (VLSI) Design 0.09045253717329892; Developing and Designing Interactive Devices 0.0683964388111898; Introduction to Circuits for Electrical and Computer Engineers 0.06528124034199945; Embedded Systems 0.06448691598185656
4,Embedded Systems,Datacenter Computing 0.12004792851850747; Embedded Systems Laboratory 0.0863104275701579; Digital Systems Design Using Microcontrollers 0.07098759298139606; Digital Logic and Computer Organization 0.06448691598185656; Intelligent Autonomous Systems 0.06390893991883154; The Computing Technology Inside Your Smartphone 0.05385810320779451; Intelligent Physical Systems 0.05137704816778701
5,Introduction to Microelectronics,Physics of Semiconductors and Nanostructures 0.1275156198719392; Nanofabrication and Characterization of Electronics Laboratory 0.0960052918907471; Nanofabrication and Characterization of Electronics 0.0843362359552289; Introduction to Circuits for Electrical and Computer Engineers 0.08264621743729328; Advanced Analog VLSI Circuit Design 0.07737974839378095; Signals and Information 0.07510648547011642; The Computing Technology Inside Your Smartphone 0.06662088496194232
6,Intelligent Physical Systems,Developing and Designing Interactive Devices 0.06759611516993574; Digital Communication System Design 0.06665463803429533; MEng Technical Internship 0.05181295351572783; Digital Systems Design Using Microcontrollers 0.051626262759503994; Embedded Systems 0.05137704816778701; Master of Engineering Design Project II 0.044574494200932666; Embedded Systems Laboratory 0.03793322451129262
7,Ethical Issues in Engineering Practice,Master of Engineering Design Project II 0.03689813622075757; Introduction to Controlled Fusion: Principles and Technology 0.03633751487660517; Stochastic Systems: Estimation and Control 0.03599278713087523; Electrical and Computer Engineering Independent Projects 0.03598757891539842; Intelligent Autonomous Systems 0.03360121920655808; Introduction to Digital (VLSI) Design 0.03127353172619324; Energy Seminar II 0.030262660899805213
8,Physics of Semiconductors and Nanostructures,Introduction to Microelectronics 0.1275156198719392; Quantum Optics for Photonics and Optoelectronics 0.059372313520476554; Energy Seminar II 0.04621829768469172; Lasers and Optoelectronics 0.03733775242596531; Signals and Information 0.03525809850653237; Nanofabrication and Characterization of Electronics 0.031845116918618806; Introduction to Controlled Fusion: Principles and Technology 0.026397018867961614
9,Autonomous Mobile Robots,Autonomous Mobile Robots 1.0000000000000004; Intelligent Autonomous Systems 0.07480999053161125; Bio-inspired Coordination of Multi-Agent Systems 0.07082831606927274; Multivariable Control Theory 0.05761165103962692; Nanofabrication and Characterization of Electronics 0.04635442042212504; Stochastic Systems: Estimation and Control 0.04167247239342918; Introduction to Digital (VLSI) Design 0.04027946649226031
10,Digital Signal and Image Processing,Signals and Information 0.06344453080352266; Intelligent Autonomous Systems 0.05520747399553172; Computer Analysis of Biomed Images 0.04735817679143376; Introduction to Microelectronics 0.03860513014546001; Advanced Analog VLSI Circuit Design 0.0295233699932368; Embedded Systems 0.028469360141921418; Quantum Optics for Photonics and Optoelectronics 0.026272736461527037
